Qts	fb/fs	vas/vab	f3 / fs	Peak-db
0.1000	3.8416	34.3925	5.2233	0
0.1100	3.4947	28.2341	4.7386	0
0.1200	3.2058	23.5499	4.3337	0
0.1300	2.9615	19.9046	3.9902	0
0.1400	2.7525	17.0150	3.6949	0
0.1500	2.5712	14.6784	3.4381	0
0.1600	2.4129	12.7685	3.2126	0
0.1700	2.2743	11.1855	3.0128	0
0.1800	2.1495	9.8589	2.8345	0
0.1900	2.0388	8.7361	2.6741	0
0.2000	1.9393	7.7775	2.5289	0
0.2100	1.8494	6.9524	2.3968	0
0.2200	1.7678	6.2372	2.2759	0
0.2300	1.6935	5.6132	2.1647	0
0.2400	1.6254	5.0655	2.0620	0
0.2500	1.5629	4.5822	1.9667	0
0.2600	1.5054	4.1535	1.8778	0
0.2700	1.4522	3.7714	1.7946	0
0.2800	1.4029	3.4295	1.7165	0
0.2900	1.3571	3.1223	1.6429	0
0.3000	1.3145	2.8421	1.5732	0
0.3100	1.2748	2.5944	1.5070	0
0.3200	1.2376	2.3667	1.4439	0
0.3300	1.2028	2.1594	1.3836	0
0.3400	1.1702	1.9699	1.3258	0
0.3500	1.1395	1.7964	1.2702	0
0.3600	1.1106	1.6371	1.2167	0
0.3700	1.0834	1.4905	1.1651	0
0.3800	1.0578	1.3552	1.1153	0
0.3900	1.0335	1.2300	1.0674	0
0.4000	1.0106	1.1141	1.0214	0
0.4100	0.9889	1.0065	0.9776	0
0.4200	0.9683	0.9064	0.9362	0.01
0.4300	0.9488	0.8131	0.8975	0.05
0.4400	0.9303	0.7260	0.8618	0.14
0.4500	0.9128	0.6445	0.8294	0.31
0.4600	0.8961	0.5682	0.8001	0.56
0.4700	0.8802	0.4966	0.7741	0.90
0.4800	0.8651	0.4294	0.7510	1.32
0.4900	0.8507	0.3661	0.7307	1.85
0.5000	0.8370	0.3065	0.7129	2.46
0.5100	0.8240	0.2503	0.6972	3.18
0.5200	0.8116	0.1971	0.6835	4.01
0.5300	0.7998	0.1468	0.6715	4.97
0.5400	0.7886	0.0992	0.6610	6.08
0.5500	0.7779	0.0540	0.6518	7.36
0.5600	0.7677	0.0111	0.6438	8.87
