Qts	fb/fs	vas/vab	f3 / fs	Peak-db
0.2500	1.0093	3.4080	2.6083	0
0.2600	1.0322	3.2301	2.4391	0
0.2700	1.0529	3.0516	2.2860	0
0.2800	1.0703	2.8731	2.1473	0
0.2900	1.0835	2.6952	2.0217	0
0.3000	1.1004	2.5188	1.9078	0
0.3100	1.1109	2.3447	1.8042	0
0.3200	1.1187	2.1738	1.7097	0
0.3300	1.1236	2.0069	1.6232	0
0.3400	1.1255	1.8448	1.5437	0
0.3500	1.1244	1.6885	1.4703	0
0.3600	1.1203	1.5387	1.4023	0
0.3700	1.1133	1.3961	1.3390	0
0.3800	1.1034	1.2616	1.2798	0
0.3900	1.0909	1.1356	1.2244	0
0.4000	1.0758	1.0187	1.1723	0
0.4100	1.0586	0.9110	1.1236	0
0.4200	1.0394	0.8128	1.0778	0
0.4300	1.0188	0.7238	1.0348	0
0.4400	0.9979	0.6439	0.9947	0
0.4500	0.9744	0.5726	0.9572	0
0.4600	0.9515	0.5093	0.9222	0
0.4700	0.9286	0.4567	0.8898	0
0.4800	0.9059	0.4040	0.8597	0
0.4900	0.8837	0.3605	0.8318	0
0.5000	0.8621	0.3223	0.8060	0.01
0.5100	0.8412	0.2885	0.7822	0.02
0.5200	0.8212	0.2586	0.7601	0.02
0.5300	0.8021	0.2321	0.7397	0.03
0.5400	0.7838	0.2084	0.7208	0.05
0.5500	0.7664	0.1872	0.7033	0.06
0.5600	0.7499	0.1681	0.6871	0.08
0.5700	0.7341	0.1508	0.6720	0.10
0.5800	0.7192	0.1350	0.6579	0.12
0.5900	0.7049	0.1205	0.6447	0.14
0.6000	0.6913	0.1072	0.6324	0.17
0.6100	0.6784	0.0952	0.6209	0.20
0.6200	0.6661	0.0832	0.6101	0.23
0.6300	0.6543	0.0723	0.5999	0.26
0.6400	0.6430	0.0624	0.5906	0.29
0.6500	0.6322	0.0524	0.5812	0.32
0.6600	0.6218	0.0431	0.5726	0.35
0.6700	0.6118	0.0343	0.5644	0.39
0.6800	0.6022	0.0258	0.5567	0.42
0.6900	0.5929	0.0177	0.5493	0.46
0.7000	0.5840	0.0096	0.5423	0.50
